nama_variabel,nama_wilayah,tahun,jenis_kelamin,tipe_daerah,presentase
Keluhan Kesehatan Masyarakat,Kalimantan Utara,2017,laki_laki,perdesaan,30.30068452
Keluhan Kesehatan Masyarakat,Sulawesi Utara,2017,laki_laki,perdesaan,28.64535199
Keluhan Kesehatan Masyarakat,Sulawesi Tengah,2017,laki_laki,perdesaan,29.42267003
Keluhan Kesehatan Masyarakat,Sulawesi Selatan,2017,laki_laki,perdesaan,23.0811614
Keluhan Kesehatan Masyarakat,Sulawesi Tenggara,2017,laki_laki,perdesaan,22.64143945
Keluhan Kesehatan Masyarakat,Gorontalo,2017,laki_laki,perdesaan,33.86091002
Keluhan Kesehatan Masyarakat,Sulawesi Barat,2017,laki_laki,perdesaan,24.8696253
Keluhan Kesehatan Masyarakat,Maluku,2017,laki_laki,perdesaan,17.50361432
Keluhan Kesehatan Masyarakat,Maluku Utara,2017,laki_laki,perdesaan,16.23334191
Keluhan Kesehatan Masyarakat,Papua Barat,2017,laki_laki,perdesaan,18.62786813
Keluhan Kesehatan Masyarakat,Papua,2017,laki_laki,perdesaan,14.46691069
Keluhan Kesehatan Masyarakat,INDONESIA,2017,laki_laki,perdesaan,27.38413977
Keluhan Kesehatan Masyarakat,Aceh,2017,laki_laki,gabungan,23.02506874
Keluhan Kesehatan Masyarakat,Sumatera Utara,2017,laki_laki,gabungan,22.39056929
Keluhan Kesehatan Masyarakat,Sumatera Barat,2017,laki_laki,gabungan,27.33932723
Keluhan Kesehatan Masyarakat,Riau,2017,laki_laki,gabungan,25.78367864
Keluhan Kesehatan Masyarakat,Jambi,2017,laki_laki,gabungan,20.41613085
Keluhan Kesehatan Masyarakat,Sumatera Selatan,2017,laki_laki,gabungan,26.06957248
Keluhan Kesehatan Masyarakat,Bengkulu,2017,laki_laki,gabungan,23.49598269
Keluhan Kesehatan Masyarakat,Lampung,2017,laki_laki,gabungan,27.4532805
Keluhan Kesehatan Masyarakat,Kepulauan Bangka Belitung,2017,laki_laki,gabungan,26.02298098
Keluhan Kesehatan Masyarakat,Kepulauan Riau,2017,laki_laki,gabungan,20.36222737
Keluhan Kesehatan Masyarakat,DKI Jakarta,2017,laki_laki,gabungan,26.66158769
Keluhan Kesehatan Masyarakat,Jawa Barat,2017,laki_laki,gabungan,28.30099243
Keluhan Kesehatan Masyarakat,Jawa Tengah,2017,laki_laki,gabungan,31.31448285
Keluhan Kesehatan Masyarakat,DI Yogyakarta,2017,laki_laki,gabungan,30.81778756
Keluhan Kesehatan Masyarakat,Jawa Timur,2017,laki_laki,gabungan,30.1734263
Keluhan Kesehatan Masyarakat,Banten,2017,laki_laki,gabungan,26.30739865
Keluhan Kesehatan Masyarakat,Bali,2017,laki_laki,gabungan,27.91599673
Keluhan Kesehatan Masyarakat,Nusa Tenggara Barat,2017,laki_laki,gabungan,28.81953759
Keluhan Kesehatan Masyarakat,Nusa Tenggara Timur,2017,laki_laki,gabungan,33.08430682
Keluhan Kesehatan Masyarakat,Kalimantan Barat,2017,laki_laki,gabungan,23.64196377
Keluhan Kesehatan Masyarakat,Kalimantan Tengah,2017,laki_laki,gabungan,24.70820985
Keluhan Kesehatan Masyarakat,Kalimantan Selatan,2017,laki_laki,gabungan,32.02950919
Keluhan Kesehatan Masyarakat,Kalimantan Timur,2017,laki_laki,gabungan,23.15856089
Keluhan Kesehatan Masyarakat,Kalimantan Utara,2017,laki_laki,gabungan,27.84152605
Keluhan Kesehatan Masyarakat,Sulawesi Utara,2017,laki_laki,gabungan,26.0819475
Keluhan Kesehatan Masyarakat,Sulawesi Tengah,2017,laki_laki,gabungan,28.65888853
Keluhan Kesehatan Masyarakat,Sulawesi Selatan,2017,laki_laki,gabungan,23.38317868
Keluhan Kesehatan Masyarakat,Sulawesi Tenggara,2017,laki_laki,gabungan,23.28128396
Keluhan Kesehatan Masyarakat,Gorontalo,2017,laki_laki,gabungan,33.87872149
